tempoS,temperK,r,e.r,rho,e.rho
2051240000000000.0,273.5908474,0.89,0.01,0.89,0.01
2051240000000000.0,276.7537717,0.9,0.01,0.9,0.01
2051240000000000.0,280.0846388,0.88,0.01,0.87,0.01
2051240000000000.0,284.9269918,0.901,0.009,0.898,0.01
2051240000000000.0,290.6090593,0.907,0.008,0.904,0.008
2051240000000000.0,293.6600216,0.89,0.01,0.89,0.01
2051240000000000.0,304.4083659,0.9,0.01,0.9,0.01
2051240000000000.0,304.8842041,0.88,0.01,0.87,0.01
2051240000000000.0,307.0674615,0.893,0.009,0.889,0.01
2051240000000000.0,312.8335004,0.875,0.009,0.869,0.01
2051240000000000.0,315.6325484,0.86,0.007,0.853,0.008
2051240000000000.0,318.347625,0.863,0.008,0.856,0.009
2051240000000000.0,318.7674822,0.864,0.008,0.857,0.009
2051240000000000.0,321.1186825,0.845,0.009,0.84,0.01
2051240000000000.0,333.7703794,0.82,0.01,0.81,0.01
2051240000000000.0,335.6177511,0.81,0.01,0.79,0.01
2051240000000000.0,339.928285,0.82,0.02,0.81,0.02
2051240000000000.0,345.9742287,0.82,0.01,0.81,0.01
2051240000000000.0,357.3103731,0.78,0.02,0.75,0.03
2051240000000000.0,359.0737734,0.75,0.02,0.71,0.03
991000000000000.0,293.050229,0.927,0.005,0.925,0.005
877000000000000.0,293.050229,0.963,0.005,0.962,0.005
3630000000000000.0,283.053629,0.932,0.003,0.93,0.003
